postcode;woonplaats;provincie;latitude;longitude
1000;Amsterdam;Noord-Holland;52.37777895;4.90558954
1001;Amsterdam;Noord-Holland;52.37777895;4.90558954
1002;Amsterdam;Noord-Holland;51.8611924;4.358999025
1003;Amsterdam;Noord-Holland;51.8611924;4.358999025
1005;Amsterdam;Noord-Holland;52.37777895;4.90558954
1006;Amsterdam;Noord-Holland;52.37777895;4.90558954
1007;Amsterdam;Noord-Holland;52.37777895;4.90558954
1008;Amsterdam;Noord-Holland;52.37777895;4.90558954
1009;Amsterdam;Noord-Holland;52.37777895;4.90558954
1011;Amsterdam;Noord-Holland;52.37276488;4.90600043
1012;Amsterdam;Noord-Holland;52.37673237;4.896592762
1013;Amsterdam;Noord-Holland;52.3856666;4.885096589
1014;Amsterdam;Noord-Holland;52.38645876;4.869874407
1015;Amsterdam;Noord-Holland;52.37825418;4.881668925
1016;Amsterdam;Noord-Holland;52.36802971;4.87917261
1017;Amsterdam;Noord-Holland;52.36493994;4.881679096
1018;Amsterdam;Noord-Holland;52.37158978;4.926872413
1019;Amsterdam;Noord-Holland;52.37870993;4.925734788
1020;Amsterdam;Noord-Holland;52.39247891;4.906595489
1021;Amsterdam;Noord-Holland;52.38337255;4.914190074
1022;Amsterdam;Noord-Holland;52.40769781;4.934535664
1023;Amsterdam;Noord-Holland;52.39345767;4.938698431
1024;Amsterdam;Noord-Holland;52.39576689;4.958933433
1025;Amsterdam;Noord-Holland;52.40029355;4.947696809
1026;Amsterdam;Noord-Holland;52.37846741;4.992583337
1027;Amsterdam;Noord-Holland;52.40558318;4.965955497
1028;Amsterdam;Noord-Holland;52.39920443;5.008378008
1030;Amsterdam;Noord-Holland;52.39237933;4.892105294
1031;Amsterdam;Noord-Holland;52.39013185;4.913469656
1032;Amsterdam;Noord-Holland;52.39183383;4.915997665
1033;Amsterdam;Noord-Holland;52.41088559;4.900590492
1034;Amsterdam;Noord-Holland;52.40520693;4.910029779
1035;Amsterdam;Noord-Holland;52.42061783;4.90451772
1036;Amsterdam;Noord-Holland;52.40962072;4.901432945
1037;Amsterdam;Noord-Holland;52.43020472;4.864417861
1040;Amsterdam;Noord-Holland;52.39720833;4.854033859
1041;Amsterdam;Noord-Holland;52.41719641;4.825045102
1042;Amsterdam;Noord-Holland;52.40229418;4.841629339
1043;Amsterdam;Noord-Holland;52.39009483;4.837473271
1044;Amsterdam;Noord-Holland;52.40547846;4.809025164
1045;Amsterdam;Noord-Holland;52.40116432;4.800789148
1046;Amsterdam;Noord-Holland;52.39059041;4.786621113
1047;Amsterdam;Noord-Holland;52.4127365;4.76079995
1051;Amsterdam;Noord-Holland;52.38327718;4.872083737
1052;Amsterdam;Noord-Holland;52.37171131;4.873077222
1053;Amsterdam;Noord-Holland;52.37069032;4.873439443
1054;Amsterdam;Noord-Holland;52.36426628;4.86955314
1055;Amsterdam;Noord-Holland;52.37752832;4.850362385
1056;Amsterdam;Noord-Holland;52.37674319;4.861505093
1057;Amsterdam;Noord-Holland;52.36609208;4.854754732
